#Event Number   e2s             e3s             
21              0.0934103       0.0833126       
26              0.10599         0.0811826       
39              0.0749696       0.0656847       
61              0.0767264       0.1031          
168             0.022954        0.0781924       
340             0.100842        0.155251        
617             0.111495        0.0355194       
635             0.0992814       0.027469        
661             0.160446        0.0386371       
725             0.0363756       0.0292278       
1079            0.0450112       0.111578        
1295            0.130495        0.0643571       
1496            0.106545        0.0744852       
1674            0.12447         0.0786641       
1721            0.110273        0.164698        
1769            0.0944006       0.145564        
2014            0.117632        0.0958738       
2206            0.0366856       0.12216         
2254            0.0451211       0.0804288       
2382            0.0385549       0.0332434       
2418            0.135968        0.0397189       
2668            0.0612888       0.0718368       
2689            0.0408273       0.161072        
2828            0.0160716       0.0769126       
2831            0.024983        0.108615        
2934            0.0917282       0.0768183       
3077            0.114037        0.104583        
3342            0.0550423       0.0483222       
3393            0.00889066      0.0345962       
3423            0.0976023       0.0190837       
3533            0.102267        0.0731481       
3591            0.0947304       0.0972594       
3803            0.0257008       0.0400487       
3808            0.0411478       0.0829971       
3914            0.128393        0.0858793       
3916            0.0502096       0.0904484       
4110            0.0957507       0.18722         
4116            0.0805362       0.107968        
4138            0.0543096       0.0701246       
4217            0.0710488       0.0855336       
4227            0.0281065       0.0467156       
4287            0.0302869       0.0387275       
4548            0.0868156       0.0982319       
4717            0.0324971       0.102501        
4754            0.152029        0.081612        
4815            0.0229192       0.0928351       
5030            0.13592         0.128199        
5059            0.133014        0.111054        
5073            0.0133389       0.099227        
5129            0.106449        0.0915424       
5194            0.079496        0.075399        
5321            0.0850392       0.0612725       
5342            0.0908819       0.0997861       
5403            0.0421925       0.153892        
5510            0.0955114       0.085424        
5559            0.0594733       0.0416589       
5573            0.0711881       0.0995775       
5610            0.0644797       0.0870373       
5728            0.0504038       0.0537335       
5832            0.0787616       0.086343        
5937            0.195099        0.0723015       
5992            0.0363285       0.0880326       
6097            0.06707         0.089717        
6109            0.0585364       0.117508        
6175            0.106953        0.0955507       
6176            0.0265344       0.158932        
6255            0.0870472       0.0509875       
6317            0.171564        0.1256          
6397            0.0361225       0.111283        
6473            0.0587059       0.0933204       
6530            0.0625525       0.0874276       
6560            0.0493905       0.103775        
6561            0.0226805       0.129105        
6669            0.105358        0.12159         
6725            0.0968012       0.0436804       
6780            0.108516        0.106247        
6836            0.17309         0.061589        
6940            0.10397         0.109111        
7007            0.0414637       0.0543351       
7153            0.131722        0.155013        
7351            0.0469803       0.105772        
7455            0.159009        0.0393808       
7793            0.166401        0.0959828       
7861            0.0557094       0.121593        
7989            0.119049        0.0756562       
8018            0.088179        0.153651        
8190            0.0368865       0.164209        
8192            0.157059        0.0430595       
8323            0.07071         0.086148        
8461            0.043346        0.0116967       
8523            0.160087        0.0705157       
8527            0.0862717       0.11685         
8717            0.11536         0.100621        
9009            0.0720318       0.0759453       
9019            0.0816764       0.0725768       
9040            0.0641474       0.0437652       
9320            0.0662112       0.115291        
9378            0.139403        0.0645933       
9410            0.049052        0.0253908       
9588            0.0207361       0.128854        
9617            0.0514258       0.0362317       
9637            0.146071        0.0970478       
9721            0.0294866       0.0179882       
9797            0.054401        0.123992        
9807            0.18148         0.035269        
9818            0.0344058       0.135179        
9987            0.0657401       0.0855329       
10054           0.0906753       0.0703916       
10065           0.0874263       0.0876744       
10077           0.0954156       0.129398        
10121           0.0602444       0.0656953       
10343           0.0950708       0.0965525       
10350           0.113643        0.034614        
10564           0.0153248       0.112544        
10574           0.218558        0.0301663       
10617           0.221093        0.0733914       
10629           0.0694          0.142214        
10862           0.0764583       0.134984        
10986           0.099849        0.0599637       
11062           0.0586711       0.0675954       
11077           0.038189        0.0136908       
11134           0.110187        0.0377976       
11238           0.119333        0.172142        
11299           0.119847        0.184876        
11308           0.0830194       0.0531852       
11404           0.062454        0.0568549       
11420           0.0325324       0.0911072       
11608           0.0840984       0.0976221       
11752           0.032696        0.0286636       
11857           0.132041        0.0846431       
11979           0.111933        0.143795        
12092           0.0364344       0.0903043       
12217           0.0606926       0.0290821       
12281           0.0438366       0.0856187       
12333           0.0315028       0.0313293       
12443           0.058193        0.0279047       
12472           0.139085        0.0228039       
12850           0.16484         0.116385        
12892           0.0430365       0.0703847       
13009           0.109106        0.0251046       
13139           0.0835604       0.0685368       
13150           0.0655001       0.0161548       
13151           0.0871887       0.189494        
13320           0.0417758       0.0869081       
13387           0.0339378       0.109621        
13822           0.10969         0.0575131       
13867           0.0670482       0.126014        
14308           0.0730114       0.0160933       
14407           0.135961        0.0327221       
14620           0.0484794       0.102356        
14785           0.0602666       0.118889        
15057           0.130443        0.137842        
15068           0.130041        0.065069        
15096           0.0510506       0.0737009       
15149           0.0714311       0.0210813       
15233           0.08775         0.157709        
15315           0.178207        0.0968979       
15490           0.145877        0.146657        
15496           0.0380805       0.0476218       
15649           0.0208281       0.0611492       
15681           0.0818559       0.151121        
15792           0.0754932       0.0307461       
15856           0.0650136       0.0685751       
15945           0.102816        0.0490347       
16054           0.0498732       0.104377        
16341           0.0511968       0.119077        
16363           0.10597         0.103164        
16401           0.0314129       0.0167141       
16407           0.0846707       0.0702614       
16433           0.198749        0.0265737       
16443           0.0451846       0.0663466       
16568           0.119591        0.0600023       
16603           0.0417621       0.084742        
16859           0.0765486       0.049529        
17006           0.0585578       0.0545314       
17009           0.04028         0.125442        
17021           0.0567028       0.0855834       
17071           0.0677178       0.0509912       
17074           0.0999649       0.136595        
17200           0.0493129       0.102636        
17221           0.0239464       0.0737301       
17282           0.155427        0.0573299       
17382           0.129915        0.0582394       
17398           0.0395739       0.0937454       
17570           0.0860062       0.0560885       
17572           0.0195737       0.048223        
17798           0.0459067       0.0970924       
17855           0.0925832       0.0773026       
17867           0.0577909       0.0832884       
18031           0.0594814       0.0377969       
18036           0.0801108       0.0325374       
18061           0.0516394       0.0759157       
18125           0.0414227       0.133621        
18135           0.0948414       0.0828058       
18236           0.0373895       0.137657        
18242           0.125526        0.0302192       
18248           0.0355121       0.0513924       
18361           0.0233529       0.137357        
18436           0.109702        0.183461        
18474           0.0584327       0.105702        
18516           0.0358076       0.143676        
18640           0.122422        0.136755        
18800           0.083292        0.019266        
18818           0.0514134       0.00712005      
18850           0.0581307       0.0943096       
18947           0.165823        0.0327063       
19024           0.0620708       0.146294        
19035           0.0588906       0.0791677       
19127           0.0683828       0.0986562       
19464           0.130938        0.0270209       
19726           0.0454126       0.112686        
19904           0.0215966       0.0558588       
20011           0.0839594       0.0753399       
20196           0.121891        0.124646        
20222           0.0705206       0.0417324       
20433           0.12924         0.0751138       
20595           0.0343964       0.138495        
20603           0.0922403       0.0343249       
20732           0.0638659       0.046577        
20757           0.125119        0.125199        
21088           0.110729        0.059139        
21139           0.0654083       0.0683544       
21303           0.0821526       0.060735        
21493           0.0298417       0.176915        
21552           0.124448        0.0237361       
21756           0.0544552       0.133847        
21856           0.0906037       0.0733758       
21891           0.112037        0.044213        
21906           0.0414116       0.0385899       
21949           0.0973064       0.133089        
22049           0.0408868       0.00576008      
22059           0.0900949       0.0468044       
22193           0.105415        0.0548462       
22335           0.090804        0.106222        
22383           0.156401        0.0766713       
22520           0.0045764       0.0131621       
22822           0.151514        0.0721958       
23074           0.104907        0.163599        
23083           0.0933442       0.0458457       
23135           0.0562156       0.0535058       
23305           0.105609        0.144726        
23444           0.122592        0.0699345       
23607           0.0417228       0.0584383       
23617           0.0359873       0.0657516       
23676           0.0796725       0.115794        
23733           0.058553        0.0673981       
23948           0.0753787       0.0249764       
24298           0.0655863       0.0490864       
24305           0.126818        0.0715351       
24347           0.0422113       0.0244513       
24498           0.0334685       0.138406        
24520           0.0389684       0.0842399       
24597           0.0986786       0.0266857       
24616           0.0590072       0.0214104       
24669           0.0479869       0.185282        
24740           0.0938583       0.170279        
24805           0.0838779       0.115528        
25024           0.168129        0.120152        
25088           0.115515        0.0565871       
25397           0.0407171       0.0703879       
25414           0.0825062       0.107699        
25554           0.112397        0.0358476       
